Date,Close
2025-01-01 00:00:00+00:00,94419.7578125
2025-01-02 00:00:00+00:00,96886.875
2025-01-03 00:00:00+00:00,98107.4296875
2025-01-04 00:00:00+00:00,98236.2265625
2025-01-05 00:00:00+00:00,98314.9609375
2025-01-06 00:00:00+00:00,102078.0859375
2025-01-07 00:00:00+00:00,96922.703125
2025-01-08 00:00:00+00:00,95043.5234375
2025-01-09 00:00:00+00:00,92484.0390625
2025-01-10 00:00:00+00:00,94701.453125
2025-01-11 00:00:00+00:00,94566.59375
2025-01-12 00:00:00+00:00,94488.4375
2025-01-13 00:00:00+00:00,94516.5234375
2025-01-14 00:00:00+00:00,96534.046875
2025-01-15 00:00:00+00:00,100504.4921875
2025-01-16 00:00:00+00:00,99756.90625
2025-01-17 00:00:00+00:00,104462.0390625
2025-01-18 00:00:00+00:00,104408.0703125
2025-01-19 00:00:00+00:00,101089.609375
2025-01-20 00:00:00+00:00,102016.6640625
2025-01-21 00:00:00+00:00,106146.265625
2025-01-22 00:00:00+00:00,103653.0703125
2025-01-23 00:00:00+00:00,103960.171875
2025-01-24 00:00:00+00:00,104819.484375
2025-01-25 00:00:00+00:00,104714.6484375
2025-01-26 00:00:00+00:00,102682.5
2025-01-27 00:00:00+00:00,102087.6875
2025-01-28 00:00:00+00:00,101332.4765625
2025-01-29 00:00:00+00:00,103703.2109375
2025-01-30 00:00:00+00:00,104735.3046875
2025-01-31 00:00:00+00:00,102405.0234375
2025-02-01 00:00:00+00:00,100655.90625
2025-02-02 00:00:00+00:00,97688.9765625
2025-02-03 00:00:00+00:00,101405.421875
2025-02-04 00:00:00+00:00,97871.8203125
2025-02-05 00:00:00+00:00,96615.4453125
2025-02-06 00:00:00+00:00,96593.296875
2025-02-07 00:00:00+00:00,96529.0859375
2025-02-08 00:00:00+00:00,96482.453125
2025-02-09 00:00:00+00:00,96500.09375
2025-02-10 00:00:00+00:00,97437.5546875
2025-02-11 00:00:00+00:00,95747.4296875
2025-02-12 00:00:00+00:00,97885.859375
2025-02-13 00:00:00+00:00,96623.8671875
2025-02-14 00:00:00+00:00,97508.96875
2025-02-15 00:00:00+00:00,97580.3515625
2025-02-16 00:00:00+00:00,96175.03125
2025-02-17 00:00:00+00:00,95773.3828125
2025-02-18 00:00:00+00:00,95539.546875
2025-02-19 00:00:00+00:00,96635.609375
2025-02-20 00:00:00+00:00,98333.9375
2025-02-21 00:00:00+00:00,96125.546875
2025-02-22 00:00:00+00:00,96577.7578125
2025-02-23 00:00:00+00:00,96273.921875
2025-02-24 00:00:00+00:00,91418.171875
2025-02-25 00:00:00+00:00,88736.171875
2025-02-26 00:00:00+00:00,84347.0234375
2025-02-27 00:00:00+00:00,84704.2265625
2025-02-28 00:00:00+00:00,84373.0078125
2025-03-01 00:00:00+00:00,86031.9140625
2025-03-02 00:00:00+00:00,94248.3515625
2025-03-03 00:00:00+00:00,86065.671875
2025-03-04 00:00:00+00:00,87222.1953125
2025-03-05 00:00:00+00:00,90623.5625
2025-03-06 00:00:00+00:00,89961.7265625
2025-03-07 00:00:00+00:00,86742.671875
2025-03-08 00:00:00+00:00,86154.59375
2025-03-09 00:00:00+00:00,80601.0390625
2025-03-10 00:00:00+00:00,78532.0
2025-03-11 00:00:00+00:00,82862.2109375
